id,time,location,value,condition
2,23:12:28 09:33:27,11,24949.39,bright
5,23:12:28 09:33:27,14,19936.60,bright
8,23:12:28 09:33:27,9,18375.45,bright
9,23:12:28 09:33:27,13,6815.01,dark
1,23:12:28 09:34:27,10,24111.23,bright
2,23:12:28 09:34:27,11,21923.28,bright
4,23:12:28 09:34:27,13,9188.92,dark
5,23:12:28 09:34:27,14,20592.79,bright
7,23:12:28 09:34:27,11,23694.07,bright
8,23:12:28 09:34:27,9,15394.61,bright
9,23:12:28 09:34:27,13,26843.73,bright
10,23:12:28 09:34:27,8,6410.93,bright
3,23:12:28 09:35:27,12,2481.12,dark
4,23:12:28 09:35:27,13,226.24,dark
5,23:12:28 09:35:27,14,13787.39,bright
6,23:12:28 09:35:27,12,5184.28,good
7,23:12:28 09:35:27,11,22149.60,bright
8,23:12:28 09:35:27,9,1162.49,bright
9,23:12:28 09:35:27,13,9099.26,dark
10,23:12:28 09:35:27,8,14505.55,bright
1,23:12:28 09:36:27,10,24661.71,bright
3,23:12:28 09:36:27,12,15182.93,bright
4,23:12:28 09:36:27,13,16422.00,good
5,23:12:28 09:36:27,14,9554.06,bright
6,23:12:28 09:36:27,12,29845.07,bright
7,23:12:28 09:36:27,11,26342.86,bright
8,23:12:28 09:36:27,9,5044.68,bright
9,23:12:28 09:36:27,13,19683.19,good
10,23:12:28 09:36:27,8,25039.86,bright
1,23:12:28 09:37:27,10,9155.30,bright
2,23:12:28 09:37:27,11,12602.52,bright
4,23:12:28 09:37:27,13,24090.45,bright
5,23:12:28 09:37:27,14,12863.61,bright
6,23:12:28 09:37:27,12,23736.33,bright
7,23:12:28 09:37:27,11,29823.21,bright
8,23:12:28 09:37:27,9,20490.78,bright
9,23:12:28 09:37:27,13,2785.02,dark
10,23:12:28 09:37:27,8,14712.27,bright
1,23:12:28 09:38:27,10,27599.79,bright
2,23:12:28 09:38:27,11,9880.50,bright
3,23:12:28 09:38:27,12,28974.30,bright
4,23:12:28 09:38:27,13,7958.32,dark
5,23:12:28 09:38:27,14,15861.84,bright
6,23:12:28 09:38:27,12,19835.90,bright
7,23:12:28 09:38:27,11,22344.95,bright
8,23:12:28 09:38:27,9,14353.31,bright
9,23:12:28 09:38:27,13,27424.82,bright
10,23:12:28 09:38:27,8,13907.00,bright
1,23:12:28 09:39:27,10,25452.38,bright
2,23:12:28 09:39:27,11,12695.34,bright
3,23:12:28 09:39:27,12,2660.75,dark
4,23:12:28 09:39:27,13,29717.19,bright
5,23:12:28 09:39:27,14,18830.25,bright
7,23:12:28 09:39:27,11,15995.86,bright
8,23:12:28 09:39:27,9,15482.43,bright
9,23:12:28 09:39:27,13,15411.27,good
10,23:12:28 09:39:27,8,28195.09,bright
1,23:12:28 09:40:27,10,29701.78,bright
2,23:12:28 09:40:27,11,405.17,dark
4,23:12:28 09:40:27,13,17781.60,good
6,23:12:28 09:40:27,12,27756.86,bright
7,23:12:28 09:40:27,11,12727.67,bright
9,23:12:28 09:40:27,13,19061.64,good
10,23:12:28 09:40:27,8,18473.69,bright
4,23:12:28 09:41:27,13,317.33,dark
6,23:12:28 09:41:27,12,22524.46,bright
8,23:12:28 09:41:27,9,15040.19,bright
10,23:12:28 09:41:27,8,29739.44,bright
1,23:12:28 09:42:27,10,18033.69,bright
3,23:12:28 09:42:27,12,4114.23,dark
4,23:12:28 09:42:27,13,14908.76,good
5,23:12:28 09:42:27,14,9089.40,bright
6,23:12:28 09:42:27,12,20600.90,bright
7,23:12:28 09:42:27,11,17883.43,bright
8,23:12:28 09:42:27,9,10560.52,bright
9,23:12:28 09:42:27,13,5969.26,dark
10,23:12:28 09:42:27,8,16927.55,bright
1,23:12:28 09:43:27,10,4152.45,bright
3,23:12:28 09:43:27,12,20648.20,bright
1,23:12:28 09:44:27,10,18742.95,bright
2,23:12:28 09:44:27,11,10892.13,bright
3,23:12:28 09:44:27,12,7616.45,good
5,23:12:28 09:44:27,14,12520.57,bright
7,23:12:28 09:44:27,11,21383.09,bright
9,23:12:28 09:44:27,13,11024.77,good
10,23:12:28 09:44:27,8,29029.81,bright
2,23:12:28 09:45:27,11,23474.74,bright
3,23:12:28 09:45:27,12,3030.57,dark
4,23:12:28 09:45:27,13,29450.84,bright
5,23:12:28 09:45:27,14,1656.21,bright
