number of outliers: 4469
id,time,value
1,23:12:28 09:33:27,33990.1
3,23:12:28 09:33:27,34679.13
4,23:12:28 09:33:27,33696.53
6,23:12:28 09:33:27,37401.64
7,23:12:28 09:33:27,32197.00
10,23:12:28 09:33:27,33957.91
3,23:12:28 09:34:27,32818.90
6,23:12:28 09:34:27,30530.19
1,23:12:28 09:35:27,39860.26
2,23:12:28 09:35:27,37404.47
2,23:12:28 09:36:27,38812.42
3,23:12:28 09:37:27,33439.55
6,23:12:28 09:39:27,35030.07
3,23:12:28 09:40:27,37308.41
5,23:12:28 09:40:27,34422.89
8,23:12:28 09:40:27,33585.76
1,23:12:28 09:41:27,37257.21
2,23:12:28 09:41:27,30923.34
3,23:12:28 09:41:27,33312.09
5,23:12:28 09:41:27,36259.60
7,23:12:28 09:41:27,39318.85
9,23:12:28 09:41:27,30615.62
2,23:12:28 09:42:27,36158.55
2,23:12:28 09:43:27,35171.66
4,23:12:28 09:43:27,33316.14
5,23:12:28 09:43:27,34662.77
6,23:12:28 09:43:27,30948.34
7,23:12:28 09:43:27,30192.22
8,23:12:28 09:43:27,32077.67
9,23:12:28 09:43:27,33347.15
10,23:12:28 09:43:27,35114.71
4,23:12:28 09:44:27,33466.81
6,23:12:28 09:44:27,36159.46
8,23:12:28 09:44:27,31774.91
1,23:12:28 09:45:27,34193.88
9,23:12:28 09:45:27,32306.04
10,23:12:28 09:45:27,37463.04
5,23:12:28 09:46:27,30493.32
9,23:12:28 09:46:27,34390.41
5,23:12:28 09:47:27,37636.50
7,23:12:28 09:47:27,38300.84
4,23:12:28 09:48:27,31994.59
6,23:12:28 09:49:27,34105.19
7,23:12:28 09:50:27,38084.27
5,23:12:28 09:52:27,36745.10
7,23:12:28 09:52:27,35095.08
10,23:12:28 09:52:27,36659.02
1,23:12:28 09:53:27,30609.06
4,23:12:28 09:53:27,30890.48
7,23:12:28 09:53:27,34597.22
2,23:12:28 09:54:27,36498.24
3,23:12:28 09:54:27,36471.23
6,23:12:28 09:54:27,30787.68
9,23:12:28 09:54:27,33532.96
3,23:12:28 09:55:27,34865.19
10,23:12:28 09:55:27,32721.22
7,23:12:28 09:56:27,34873.80
10,23:12:28 09:56:27,39221.92
6,23:12:28 09:57:27,36767.22
1,23:12:28 09:58:27,35955.64
2,23:12:28 09:58:27,33986.86
3,23:12:28 09:59:27,39459.84
10,23:12:28 09:59:27,30887.27
6,23:12:28 10:00:27,32266.64
9,23:12:28 10:00:27,32325.80
1,23:12:28 10:01:27,33775.16
4,23:12:28 10:01:27,34595.02
5,23:12:28 10:01:27,30310.10
6,23:12:28 10:01:27,38025.04
8,23:12:28 10:01:27,36330.75
1,23:12:28 10:03:27,36099.30
5,23:12:28 10:03:27,34925.73
6,23:12:28 10:04:27,34195.12
7,23:12:28 10:04:27,31054.07
10,23:12:28 10:04:27,34792.83
2,23:12:28 10:05:27,30451.43
4,23:12:28 10:05:27,30246.87
6,23:12:28 10:05:27,39366.12
8,23:12:28 10:05:27,36662.27
9,23:12:28 10:05:27,36326.49
6,23:12:28 10:06:27,30591.91
7,23:12:28 10:06:27,38284.39
1,23:12:28 10:07:27,33831.41
2,23:12:28 10:07:27,39573.36
5,23:12:28 10:07:27,33577.16
6,23:12:28 10:07:27,37235.36
9,23:12:28 10:07:27,38017.95
4,23:12:28 10:08:27,35163.22
7,23:12:28 10:08:27,36400.52
8,23:12:28 10:08:27,32227.11
9,23:12:28 10:09:27,33157.51
3,23:12:28 10:10:27,31159.94
