id,time,value
1,23:12:28 09:33:27,33990.1
2,23:12:28 09:33:27,24949.39
3,23:12:28 09:33:27,34679.13
4,23:12:28 09:33:27,33696.53
5,23:12:28 09:33:27,19936.60
6,23:12:28 09:33:27,37401.64
7,23:12:28 09:33:27,32197.00
8,23:12:28 09:33:27,18375.45
9,23:12:28 09:33:27,6815.01
10,23:12:28 09:33:27,33957.91
1,23:12:28 09:34:27,24111.23
2,23:12:28 09:34:27,21923.28
3,23:12:28 09:34:27,32818.90
4,23:12:28 09:34:27,9188.92
5,23:12:28 09:34:27,20592.79
6,23:12:28 09:34:27,30530.19
7,23:12:28 09:34:27,23694.07
8,23:12:28 09:34:27,15394.61
9,23:12:28 09:34:27,26843.73
10,23:12:28 09:34:27,6410.93
1,23:12:28 09:35:27,39860.26
2,23:12:28 09:35:27,37404.47
3,23:12:28 09:35:27,2481.12
4,23:12:28 09:35:27,226.24
5,23:12:28 09:35:27,13787.39
6,23:12:28 09:35:27,5184.28
7,23:12:28 09:35:27,22149.60
8,23:12:28 09:35:27,1162.49
9,23:12:28 09:35:27,9099.26
10,23:12:28 09:35:27,14505.55
1,23:12:28 09:36:27,24661.71
2,23:12:28 09:36:27,38812.42
3,23:12:28 09:36:27,15182.93
4,23:12:28 09:36:27,16422.00
5,23:12:28 09:36:27,9554.06
6,23:12:28 09:36:27,29845.07
7,23:12:28 09:36:27,26342.86
8,23:12:28 09:36:27,5044.68
9,23:12:28 09:36:27,19683.19
10,23:12:28 09:36:27,25039.86
1,23:12:28 09:37:27,9155.30
2,23:12:28 09:37:27,12602.52
3,23:12:28 09:37:27,33439.55
4,23:12:28 09:37:27,24090.45
5,23:12:28 09:37:27,12863.61
6,23:12:28 09:37:27,23736.33
7,23:12:28 09:37:27,29823.21
8,23:12:28 09:37:27,20490.78
9,23:12:28 09:37:27,2785.02
10,23:12:28 09:37:27,14712.27
1,23:12:28 09:38:27,27599.79
2,23:12:28 09:38:27,9880.50
3,23:12:28 09:38:27,28974.30
4,23:12:28 09:38:27,7958.32
5,23:12:28 09:38:27,15861.84
6,23:12:28 09:38:27,19835.90
7,23:12:28 09:38:27,22344.95
8,23:12:28 09:38:27,14353.31
9,23:12:28 09:38:27,27424.82
10,23:12:28 09:38:27,13907.00
1,23:12:28 09:39:27,25452.38
2,23:12:28 09:39:27,12695.34
3,23:12:28 09:39:27,2660.75
4,23:12:28 09:39:27,29717.19
5,23:12:28 09:39:27,18830.25
6,23:12:28 09:39:27,35030.07
7,23:12:28 09:39:27,15995.86
8,23:12:28 09:39:27,15482.43
9,23:12:28 09:39:27,15411.27
10,23:12:28 09:39:27,28195.09
1,23:12:28 09:40:27,29701.78
2,23:12:28 09:40:27,405.17
3,23:12:28 09:40:27,37308.41
4,23:12:28 09:40:27,17781.60
5,23:12:28 09:40:27,34422.89
6,23:12:28 09:40:27,27756.86
7,23:12:28 09:40:27,12727.67
8,23:12:28 09:40:27,33585.76
9,23:12:28 09:40:27,19061.64
10,23:12:28 09:40:27,18473.69
1,23:12:28 09:41:27,37257.21
2,23:12:28 09:41:27,30923.34
3,23:12:28 09:41:27,33312.09
4,23:12:28 09:41:27,317.33
5,23:12:28 09:41:27,36259.60
6,23:12:28 09:41:27,22524.46
7,23:12:28 09:41:27,39318.85
8,23:12:28 09:41:27,15040.19
9,23:12:28 09:41:27,30615.62
10,23:12:28 09:41:27,29739.44
1,23:12:28 09:42:27,18033.69
2,23:12:28 09:42:27,36158.55
3,23:12:28 09:42:27,4114.23
4,23:12:28 09:42:27,14908.76
5,23:12:28 09:42:27,9089.40
6,23:12:28 09:42:27,20600.90
7,23:12:28 09:42:27,17883.43
8,23:12:28 09:42:27,10560.52
9,23:12:28 09:42:27,5969.26
10,23:12:28 09:42:27,16927.55
1,23:12:28 09:43:27,4152.45
2,23:12:28 09:43:27,35171.66
3,23:12:28 09:43:27,20648.20
4,23:12:28 09:43:27,33316.14
5,23:12:28 09:43:27,34662.77
6,23:12:28 09:43:27,30948.34
7,23:12:28 09:43:27,30192.22
8,23:12:28 09:43:27,32077.67
9,23:12:28 09:43:27,33347.15
10,23:12:28 09:43:27,35114.71
1,23:12:28 09:44:27,18742.95
2,23:12:28 09:44:27,10892.13
3,23:12:28 09:44:27,7616.45
4,23:12:28 09:44:27,33466.81
5,23:12:28 09:44:27,12520.57
6,23:12:28 09:44:27,36159.46
7,23:12:28 09:44:27,21383.09
8,23:12:28 09:44:27,31774.91
9,23:12:28 09:44:27,11024.77
10,23:12:28 09:44:27,29029.81
1,23:12:28 09:45:27,34193.88
2,23:12:28 09:45:27,23474.74
3,23:12:28 09:45:27,3030.57
4,23:12:28 09:45:27,29450.84
